order_item_id,order_id,product_id,quantity,unit_price
1,1,284,2,7098.29
2,1,128,2,5888.22
3,2,39,1,7041.97
4,2,290,4,2755.76
5,3,226,1,5756.11
6,4,166,1,50026.9
7,4,285,2,358.11
8,4,173,1,29583.02
9,5,258,1,5460.16
10,6,36,2,2721.62
11,7,133,2,5077.02
12,8,155,1,4847.44
13,8,160,1,2902.98
14,8,114,1,5126.21
15,9,9,1,8745.96
16,10,84,2,22291.9
17,10,242,1,7574.41
18,11,290,2,2730.73
19,12,24,3,18835.07
20,13,279,3,909.98
21,14,293,1,1154.41
22,15,294,1,1266.14
23,15,77,1,1215.23
24,16,105,1,10734.46
25,17,59,2,6020.99
26,18,196,2,324.69
27,19,47,1,5657.11
28,19,93,1,4400.09
29,20,168,1,7285.63
30,20,134,1,2623.17
31,20,120,2,3447.44
32,21,80,2,81446.47
33,22,69,2,5209.69
34,23,176,1,60719.57
35,24,53,2,44509.18
36,24,87,1,39841.02
37,24,22,1,4037.32
38,25,88,2,57775.59
39,25,87,1,38918.23
40,25,127,3,36029.72
41,26,82,1,4585.15
42,27,7,2,451.18
43,28,109,3,11798.36
44,29,270,1,17052.0
45,30,174,1,6867.45
46,31,67,1,5144.49
47,32,283,2,1294.74
48,33,190,1,16135.01
49,34,203,3,5323.48
50,35,21,1,20668.82
51,36,80,2,76752.62
52,37,115,2,1501.48
53,37,207,2,16672.78
54,37,14,1,34001.86
55,38,69,2,5855.35
56,39,300,2,926.78
57,40,88,1,59370.42
58,40,261,2,1422.79
59,40,52,1,1492.97
60,41,256,1,1782.24
61,42,118,1,5466.12
62,43,62,2,14878.62
63,43,198,3,8597.15
64,44,171,1,3955.5
65,45,41,1,8339.66
66,45,261,1,1428.32
67,46,227,3,2325.8
68,46,114,1,5373.78
69,47,272,3,41364.9
70,47,11,2,991.56
71,48,292,1,1055.9
72,48,127,3,35048.56
73,48,242,2,7511.2
74,49,268,3,14161.61
75,50,252,1,8498.55
76,51,34,2,1835.94
77,52,121,1,61593.03
78,53,27,1,3281.73
79,53,73,1,470.88
80,54,180,1,15106.67
81,54,209,1,2174.31
82,55,69,3,6129.64
83,56,18,1,1499.45
84,56,117,1,1835.55
85,56,177,4,5427.97
86,57,120,1,3540.63
87,58,287,1,1170.45
88,58,210,1,15426.89
89,58,192,4,12710.46
90,58,9,3,8452.08
91,59,279,2,875.48
92,60,198,2,9238.84
93,60,295,1,5132.26
94,61,148,1,50263.25
95,61,204,1,80743.3
96,62,154,1,38527.0
97,62,259,2,26226.31
98,63,213,3,4923.52
99,63,118,2,5872.57
100,64,193,1,16500.68
101,64,33,1,1101.77
102,65,204,4,78309.55
103,65,139,1,3090.34
104,66,90,1,15993.88
105,66,256,1,1821.68
106,66,256,1,1725.0
107,67,17,1,289.95
108,68,185,1,2733.53
109,68,14,1,32230.05
110,69,139,1,3310.03
111,69,286,1,1649.14
112,70,151,2,2870.0
113,71,42,1,4853.12
114,72,74,1,17782.9
115,73,10,2,70326.25
116,74,237,2,4511.26
117,74,269,1,7260.61
118,75,84,1,23068.56
119,75,83,3,6272.02
120,76,174,1,7596.29
121,77,238,1,1682.48
122,78,281,1,6321.69
123,79,291,1,7337.24
124,79,166,1,55047.41
125,79,194,3,6835.05
126,80,12,1,30873.08
127,80,21,1,24281.51
128,81,291,2,7849.94
129,82,73,1,441.87
130,83,170,3,45321.38
131,83,86,1,3711.5
132,83,55,1,590.85
133,84,244,4,68212.29
134,84,150,2,1494.92
135,85,34,1,2107.3
136,86,111,2,6145.07
137,86,129,1,47236.4
138,87,126,1,963.43
139,88,231,1,14909.2
140,88,146,3,1052.37
141,88,184,1,4978.04
142,89,249,1,42055.42
143,89,279,1,913.49
144,89,73,3,450.0
145,90,190,1,17033.73
146,91,199,1,1682.0
147,91,204,4,81142.77
148,92,216,3,74178.45
149,92,33,1,1253.38
150,92,295,2,5179.8
151,93,221,1,1215.32
