payment_id,order_id,payment_method,amount
1,1,UPI,25973.02
2,2,UPI,18065.01
3,3,Net Banking,5756.11
4,4,UPI,80326.14
5,5,Net Banking,5460.16
6,6,Credit Card,5443.24
7,7,UPI,10154.04
8,8,Credit Card,12876.63
9,9,UPI,8745.96
10,10,Cash on Delivery,52158.21
11,11,Net Banking,5461.46
12,12,UPI,56505.21
13,13,UPI,2729.94
14,14,Wallet,1154.41
15,15,Cash on Delivery,2481.37
16,16,Credit Card,10734.46
17,17,Debit Card,12041.98
18,18,Debit Card,649.38
19,19,UPI,10057.2
20,20,Credit Card,16803.68
21,21,UPI,162892.94
22,22,Net Banking,10419.38
23,23,UPI,60719.57
24,24,Debit Card,132896.7
25,25,Credit Card,262558.57
26,26,Credit Card,4585.15
27,27,UPI,902.36
28,28,UPI,35395.08
29,29,Net Banking,17052.0
30,30,Wallet,6867.45
31,31,Wallet,5144.49
32,32,UPI,2589.48
33,33,UPI,16135.01
34,34,UPI,15970.44
35,35,Credit Card,20668.82
36,36,Wallet,153505.24
37,37,UPI,70350.38
38,38,Credit Card,11710.7
39,39,Wallet,1853.56
40,40,UPI,63708.97
41,41,UPI,1782.24
42,42,UPI,5466.12
43,43,Debit Card,55548.69
44,44,UPI,3955.5
45,45,Debit Card,9767.98
46,46,Debit Card,12351.18
47,47,UPI,126077.82
48,48,Debit Card,121223.98
49,49,UPI,42484.83
50,50,Wallet,8498.55
51,51,Debit Card,3671.88
52,52,Net Banking,61593.03
53,53,UPI,3752.61
54,54,UPI,17280.98
55,55,Debit Card,18388.92
56,56,UPI,25046.88
57,57,Net Banking,3540.63
58,58,UPI,92795.42
59,59,Credit Card,1750.96
60,60,Debit Card,23609.94
61,61,Debit Card,131006.55
62,62,Debit Card,90979.62
63,63,Credit Card,26515.7
64,64,UPI,17602.45
65,65,Wallet,316328.54
66,66,Credit Card,19540.56
67,67,UPI,289.95
68,68,UPI,34963.58
69,69,UPI,4959.17
70,70,Debit Card,5740.0
71,71,UPI,4853.12
72,72,UPI,17782.9
